d-----x-w- news/news         0 unit1exercise2/enpflumen/
d----wxr-- lp/audio          0 unit1exercise2/angetritter/beschmeckung/
d---rwx-wx news/fax          0 unit1exercise2/enpflums/
d--x--xrw- mail/student      0 unit1exercise2/angetritter/antrittung/
d--xrwx-wx news/cdrom        0 unit1exercise2/enpflumen/aufgesitzse/
d-w--w-rwx nobody/tape       0 unit1exercise2/enpflumen/aufgesitzse/zerraucher/
d-w-r---wx mail/student      0 unit1exercise2/enpflumen/beklettte/
d-wx-w--wx news/student      0 unit1exercise2/angetritter/beschmeckung/ausgesprachs/
d-wx-wxrwx games/tape        0 unit1exercise2/verklettt/aufwarfheit/enwarfst/
d-wxr----x news/fax          0 unit1exercise2/verklettt/aufwarfheit/bestehs/
d-wxr-x-wx proxy/fax         0 unit1exercise2/besprachtest/
dr---w---- proxy/floppy      0 unit1exercise2/angetritter/beschmeckung/aufkletts/
dr--r--r-- games/dip         0 unit1exercise2/angetritter/antrittung/ankaeser/
dr-x---rwx news/tape         0 unit1exercise2/angetritter/
drw-----wx news/floppy       0 unit1exercise2/verrennkeit/
drw---x--- news/student      0 unit1exercise2/aushundheit/
drw-r-x-wx mail/floppy       0 unit1exercise2/aufgewarfs/
drwx--x--x proxy/tape        0 unit1exercise2/verklettt/
drwx-w---x nobody/cdrom      0 unit1exercise2/angetritter/beschmeckung/ausrauchheit/
drwx-w-r-x proxy/voice       0 unit1exercise2/verklettt/aufwarfheit/
drwxrwxr-x student/student   0 unit1exercise2/
