d-------w- lp/mail           0 unit1exercise3/aufgewitzer/
d---r-x--x proxy/uucp        0 unit1exercise3/aufgerabarbs/
d---rwx-w- student/cdrom     0 unit1exercise3/aufgesitzkeit/ausrennst/zerkraute/
d--S-wxrwx proxy/dip         0 unit1exercise3/aufgerabarbs/aufpflumst/ensitzkeit/
d--s-wx-w- nobody/uucp       0 unit1exercise3/verhundst/
d--x-w-r-- proxy/floppy      0 unit1exercise3/vertritten/
d-w----rwx nobody/voice      0 unit1exercise3/vertritten/zerrennse/zertrause/
d-w-rw-r-x games/voice       0 unit1exercise3/vertritten/zerrennse/angerennt/
d-ws-w---x games/dip         0 unit1exercise3/aufgesitzkeit/
d-ws-wx--- proxy/student     0 unit1exercise3/vertritten/zerrennse/
dr-S--x-w- news/voice        0 unit1exercise3/aufgerennheit/gelaufte/
dr-sr--r-- nobody/cdrom      0 unit1exercise3/aufgerabarbs/aufpflumst/
dr-sr-xrw- proxy/voice       0 unit1exercise3/aufgerennheit/
dr-srw---x news/uucp         0 unit1exercise3/vertritten/zerrennse/aufgehundtete/
dr-xrwxrw- games/cdrom       0 unit1exercise3/vertritten/zerrennse/einkrauer/
dr-xrwxrw- student/uucp      0 unit1exercise3/aufgesitzkeit/ausrennst/
drw-rwx--x nobody/news       0 unit1exercise3/gekrauen/ausgeschmecks/
drwS-w---x proxy/student     0 unit1exercise3/zerklettst/
drwSrwx--x uucp/fax          0 unit1exercise3/gekrauen/
drwx-w---- games/news        0 unit1exercise3/gekrauen/ausgeschmecks/zerwarfse/
drwxrwxr-x student/student   0 unit1exercise3/
