d------rwx student/voice     0 unit1exercise4/enrauchs/
d----wSr-- student/voice     0 unit1exercise4/aufwitzse/
d---r-s--x student/mail      0 unit1exercise4/enrauchs/einsinnung/aufgewitzs/
d--xrws--x student/uucp      0 unit1exercise4/einkletttest/angesetzung/ausschmecks/
d-w-r-Sr-x student/student   0 unit1exercise4/enrauchs/ankletts/angewarftest/
d-w-r-x-wx student/floppy    0 unit1exercise4/auftritten/angegehte/gehalttest/
d-wx--sr-- student/cdrom     0 unit1exercise4/aufgefahrung/anschmecktest/
d-wxr-xr-- student/student   0 unit1exercise4/einkletttest/angesetzung/
d-wxrw-rw- student/tape      0 unit1exercise4/aufgepflumtete/
dr--r----- student/audio     0 unit1exercise4/enrauchs/einsinnung/
dr--rwS--x student/proxy     0 unit1exercise4/aufgewitzt/
dr-x-----x student/tape      0 unit1exercise4/enrauchs/ankletts/
dr-x--S--x student/floppy    0 unit1exercise4/aufgefahrung/
dr-x--sr-- student/uucp      0 unit1exercise4/einkletttest/
dr-x-ws-w- student/fax       0 unit1exercise4/enklettt/
dr-xr-Sr-- student/fax       0 unit1exercise4/auftritten/
dr-xrwsrwx student/tape      0 unit1exercise4/enrauchs/einsinnung/zerhundung/
drw---x-wx student/news      0 unit1exercise4/enrauchs/einsinnung/einrabarber/
drw-rwS-wx student/uucp      0 unit1exercise4/einkletttest/angesetzung/auswarfheit/
drwx-w---- student/tape      0 unit1exercise4/auftritten/angegehte/
drwxrwxr-x student/student   0 unit1exercise4/
